slide,inst,rec@0.5,area,ecc,extent,axis_ratio
280120-07,184,1,6477,0.793999501925043,0.5230135658914729,1.6449575907345642
280120-07,185,0,6681,0.8626915766383932,0.6659025216784611,1.977338099607
280120-07,186,0,7937,0.7894717881462456,0.6578532946539577,1.6292300853405242
280120-07,187,0,7013,0.8711335160282062,0.3899360578259661,2.036468146169826
280120-07,188,0,6729,0.6631213664123449,0.6910752798603266,1.3359841170824438
280120-07,189,1,9085,0.799772784146209,0.7131083202511774,1.6658258826287191
280120-07,190,1,7334,0.72578974581387,0.8176142697881829,1.453664592324904
280120-07,191,0,6457,0.8433741120677734,0.7080043859649123,1.8610647568557328
280120-07,192,0,4095,0.8017165580620973,0.6112852664576802,1.673067798990524
280120-08,1,1,11112,0.5920330666558293,0.7597948717948718,1.2408276888280048
280120-08,2,1,12372,0.3257969949498105,0.7674937965260545,1.0577088614746168
280120-08,3,1,13804,0.5493518035079187,0.7624834290764472,1.196757506782648
280120-08,4,1,9992,0.5328151772549891,0.7800156128024981,1.1817095389535526
280120-08,5,1,13503,0.4809186672473969,0.7811523776466505,1.1405562028194547
280120-08,6,1,5333,0.9079025346372104,0.7315500685871056,2.385602430078004
280120-08,7,1,9791,0.4104797266198211,0.7600527868343425,1.096647880051329
280120-08,8,1,12931,0.4301800591197866,0.7724611708482676,1.1077348500950264
280120-08,9,1,10529,0.4227046186533761,0.7769332939787486,1.1034269523107885
280120-08,10,1,11961,0.5925527590783125,0.7752284658759478,1.2414161613854868
280120-08,11,0,17911,0.5706401137742229,0.8888833746898263,1.2177297712969493
280120-08,12,1,11639,0.2433761733299142,0.7390779781559563,1.0310001367560535
280120-08,13,1,11348,0.6887593989761714,0.8428401663695781,1.3793293828902202
280120-08,14,1,12057,0.3590929969378499,0.7475818452380952,1.0714647902872647
280120-08,15,1,10518,0.6449026595287443,0.7377946127946128,1.3084471597006375
280120-08,16,0,9635,0.5598025379880107,0.653663500678426,1.2068170062234156
280120-08,17,1,13598,0.5071057634280957,0.8123058542413382,1.160249165395194
280120-08,18,1,11557,0.4991967738393723,0.7839506172839507,1.1540832066608897
280120-08,19,1,13193,0.602528361593352,0.7756025867136979,1.2529797877240272
280120-08,20,1,10723,0.3831258655672178,0.7515419119708439,1.0826070929769631
280120-08,21,1,14330,0.182227885967552,0.7691069128381279,1.0170288013058988
280120-08,22,1,6317,0.2347320911017787,0.8067688378033205,1.028742971845983
280120-08,23,1,10387,0.5854380816700977,0.7215198666296193,1.2334758603055904
280120-08,24,1,9893,0.6272145953452053,0.7481094978826376,1.2839500669340251
280120-08,25,1,6266,0.7222721168817847,0.7697788697788698,1.445903712356174
280120-08,26,1,13638,0.4143682132891448,0.7900590893291624,1.098769095438628
280120-08,27,1,13530,0.3999531908865217,0.7177718832891247,1.0910651329731893
280120-08,28,1,10334,0.4664236924447928,0.7753601440576231,1.1305037231598103
